#MMo    logLLo  logTe     G   G_BP    G_RP
0.8392699277   -0.22396  3.73485    5.2651   5.6418   4.7247
0.8410208943   -0.21689  3.73564    5.2461   5.6210   4.7075
0.8427718610   -0.20980  3.73644    5.2271   5.6002   4.6902
0.8445228276   -0.20268  3.73723    5.2080   5.5793   4.6728
0.8462737943   -0.19553  3.73802    5.1889   5.5585   4.6554
0.8480247609   -0.18836  3.73880    5.1698   5.5376   4.6380
0.8497757276   -0.18115  3.73958    5.1506   5.5167   4.6205
0.8515266942   -0.17391  3.74035    5.1315   5.4959   4.6030
0.8532776609   -0.16664  3.74112    5.1124   5.4752   4.5855
0.8550286275   -0.15934  3.74188    5.0932   5.4544   4.5681
0.8567795942   -0.15201  3.74264    5.0741   5.4337   4.5505
0.8585305608   -0.14466  3.74339    5.0549   5.4130   4.5330
0.8602815275   -0.13727  3.74414    5.0358   5.3923   4.5154
0.8620324941   -0.12987  3.74487    5.0165   5.3716   4.4977
0.8637834608   -0.12244  3.74560    4.9973   5.3508   4.4801
0.8655344274   -0.11499  3.74632    4.9780   5.3301   4.4623
0.8672853941   -0.10752  3.74704    4.9587   5.3093   4.4445
0.8690363607   -0.10002  3.74774    4.9393   5.2885   4.4266
0.8707873274   -0.09252  3.74842    4.9199   5.2676   4.4087
0.8725382940   -0.08501  3.74910    4.9004   5.2468   4.3907
0.8742892607   -0.07750  3.74977    4.8810   5.2259   4.3727
0.8760402273   -0.06999  3.75042    4.8615   5.2051   4.3547
0.8777911939   -0.06249  3.75106    4.8421   5.1843   4.3367
0.8795421606   -0.05501  3.75168    4.8227   5.1637   4.3187
0.8812931272   -0.04757  3.75229    4.8035   5.1431   4.3008
0.8830440939   -0.04017  3.75287    4.7844   5.1228   4.2829
0.8847950605   -0.03284  3.75343    4.7655   5.1026   4.2652
0.8865460272   -0.02559  3.75397    4.7468   5.0828   4.2477
0.8882969938   -0.01842  3.75449    4.7283   5.0632   4.2304
0.8900479605   -0.01134  3.75498    4.7101   5.0440   4.2133
0.8917989271   -0.00435  3.75544    4.6921   5.0250   4.1963
0.8935498938    0.00250  3.75588    4.6745   5.0065   4.1797
0.8953008604    0.00916  3.75628    4.6575   4.9887   4.1636
0.8970518271    0.01560  3.75665    4.6410   4.9714   4.1479
0.8988027937    0.02188  3.75699    4.6250   4.9547   4.1327
0.8997478321    0.02521  3.75716    4.6165   4.9458   4.1245
0.9006928706    0.02894  3.75734    4.6070   4.9359   4.1154
0.9016379090    0.03284  3.75751    4.5971   4.9256   4.1059
0.9025829474    0.03679  3.75769    4.5871   4.9152   4.0963
0.9035279858    0.04080  3.75786    4.5769   4.9047   4.0865
0.9044730242    0.04487  3.75804    4.5666   4.8940   4.0765
0.9054180627    0.04900  3.75821    4.5561   4.8831   4.0664
0.9063631011    0.05318  3.75838    4.5455   4.8721   4.0562
0.9073081395    0.05740  3.75855    4.5347   4.8611   4.0459
0.9082531779    0.06167  3.75872    4.5239   4.8499   4.0354
0.9091982163    0.06596  3.75888    4.5131   4.8387   4.0249
0.9101432548    0.07030  3.75904    4.5021   4.8273   4.0143
0.9110882932    0.07470  3.75920    4.4909   4.8159   4.0035
0.9120333316    0.07917  3.75936    4.4796   4.8042   3.9925
0.9129783700    0.08371  3.75952    4.4681   4.7924   3.9814
0.9139234084    0.08825  3.75967    4.4566   4.7806   3.9703
0.9148684469    0.09277  3.75981    4.4452   4.7688   3.9591
0.9158134853    0.09730  3.75995    4.4338   4.7571   3.9480
0.9167585237    0.10184  3.76007    4.4223   4.7454   3.9368
0.9177035621    0.10638  3.76018    4.4108   4.7337   3.9256
0.9186486005    0.11095  3.76029    4.3993   4.7219   3.9144
0.9195936390    0.11554  3.76039    4.3878   4.7102   3.9030
0.9205386774    0.12015  3.76048    4.3762   4.6983   3.8916
0.9214837158    0.12479  3.76056    4.3645   4.6865   3.8802
0.9224287542    0.12945  3.76063    4.3528   4.6746   3.8686
0.9233737926    0.13414  3.76069    4.3410   4.6627   3.8570
0.9243188311    0.13885  3.76075    4.3291   4.6507   3.8453
0.9252638695    0.14359  3.76079    4.3173   4.6387   3.8335
0.9262089079    0.14835  3.76082    4.3053   4.6267   3.8216
0.9271539463    0.15314  3.76084    4.2933   4.6147   3.8097
0.9280989848    0.15795  3.76085    4.2813   4.6026   3.7977
0.9290440232    0.16280  3.76084    4.2691   4.5904   3.7856
0.9299890616    0.16768  3.76083    4.2569   4.5783   3.7733
0.9309341000    0.17258  3.76080    4.2447   4.5660   3.7610
0.9318791384    0.17752  3.76075    4.2323   4.5538   3.7486
0.9328241769    0.18250  3.76069    4.2199   4.5415   3.7361
0.9337692153    0.18750  3.76061    4.2075   4.5292   3.7235
0.9347142537    0.19254  3.76052    4.1950   4.5168   3.7108
0.9356592921    0.19760  3.76040    4.1824   4.5044   3.6980
0.9366043305    0.20270  3.76027    4.1697   4.4920   3.6851
0.9375493690    0.20780  3.76012    4.1571   4.4797   3.6721
0.9384944074    0.21292  3.75994    4.1444   4.4674   3.6591
0.9394394458    0.21809  3.75973    4.1316   4.4550   3.6459
0.9403844842    0.22329  3.75950    4.1188   4.4426   3.6326
0.9413295226    0.22852  3.75924    4.1059   4.4303   3.6191
0.9422745611    0.23378  3.75895    4.0930   4.4179   3.6056
0.9432195995    0.23907  3.75863    4.0801   4.4056   3.5920
0.9441646379    0.24439  3.75827    4.0671   4.3933   3.5782
0.9451096763    0.24973  3.75787    4.0540   4.3811   3.5644
0.9460547147    0.25510  3.75743    4.0410   4.3690   3.5504
0.9469997532    0.26048  3.75694    4.0280   4.3570   3.5363
0.9479447916    0.26587  3.75639    4.0151   4.3451   3.5222
0.9488898300    0.27126  3.75578    4.0022   4.3335   3.5080
0.9498348684    0.27665  3.75511    3.9894   4.3221   3.4938
0.9507799068    0.28201  3.75436    3.9768   4.3110   3.4795
0.9517249453    0.28734  3.75352    3.9643   4.3003   3.4652
0.9526699837    0.29261  3.75259    3.9521   4.2901   3.4510
0.9536150221    0.29780  3.75155    3.9403   4.2804   3.4369
0.9545600605    0.30290  3.75040    3.9288   4.2713   3.4229
0.9555050989    0.30787  3.74912    3.9177   4.2629   3.4091
0.9556770100    0.30892  3.74890    3.9153   4.2609   3.4062
0.9558489210    0.30981  3.74865    3.9133   4.2595   3.4037
0.9560208320    0.31065  3.74837    3.9115   4.2582   3.4013
