#    MMo    logLLo  logTe     G   G_BP    G_RP
0.6545935917    -0.97111  3.62645   7.4814   8.1839   6.6724
0.6639206561    -0.94305  3.63083   7.3912   8.0754   6.5948
0.6732477204    -0.91538  3.63514   7.3026   7.9697   6.5185
0.6825747848    -0.88807  3.63939   7.2154   7.8661   6.4433
0.6919018492    -0.86111  3.64359   7.1288   7.7631   6.3688
0.7012289136    -0.83445  3.64777   7.0423   7.6596   6.2946
0.7105559780    -0.80766  3.65211   6.9554   7.5555   6.2202
0.7198830423    -0.78121  3.65640   6.8719   7.4571   6.1482
0.7292101067    -0.75508  3.66064   6.7910   7.3630   6.0780
0.7385371711    -0.72926  3.66482   6.7109   7.2696   6.0085
0.7478642355    -0.70373  3.66896   6.6309   7.1759   5.9395
0.7571912999    -0.67825  3.67313   6.5513   7.0828   5.8708
0.7665183642    -0.65298  3.67727   6.4735   6.9923   5.8035
0.7758454286    -0.62800  3.68137   6.3978   6.9048   5.7377
0.7851724930    -0.60328  3.68542   6.3239   6.8199   5.6734
0.7944995574    -0.57883  3.68943   6.2510   6.7362   5.6099
0.8038266218    -0.55460  3.69331   6.1784   6.6526   5.5466
0.8131536861    -0.53057  3.69701   6.1069   6.5708   5.4841
0.8224807505    -0.50679  3.70068   6.0378   6.4924   5.4234
0.8318078149    -0.48325  3.70430   5.9711   6.4172   5.3645
0.8411348793    -0.45994  3.70790   5.9054   6.3434   5.3064
0.8504619437    -0.43686  3.71145   5.8398   6.2694   5.2487
0.8597890080    -0.41401  3.71497   5.7747   6.1959   5.1914
0.8691160724    -0.39138  3.71845   5.7108   6.1238   5.1351
0.8784431368    -0.36896  3.72190   5.6482   6.0534   5.0800
0.8877702012    -0.34674  3.72531   5.5869   5.9846   5.0259
0.8970972655    -0.32474  3.72869   5.5267   5.9171   4.9729
0.9064243299    -0.30283  3.73177   5.4671   5.8510   4.9199
0.9157513943    -0.28107  3.73471   5.4079   5.7852   4.8670
0.9250784587    -0.25950  3.73762   5.3492   5.7200   4.8145
0.9344055231    -0.23811  3.74050   5.2916   5.6561   4.7631
0.9437325874    -0.21691  3.74335   5.2354   5.5940   4.7130
0.9530596518    -0.19589  3.74617   5.1802   5.5331   4.6638
0.9623867162    -0.17503  3.74897   5.1255   5.4727   4.6150
0.9717137806    -0.15435  3.75173   5.0710   5.4124   4.5665
0.9810408450    -0.13383  3.75447   5.0168   5.3525   4.5183
0.9903679093    -0.11347  3.75719   4.9633   5.2933   4.4706
0.9996949737    -0.09327  3.75987   4.9105   5.2350   4.4236
1.0090220381    -0.07296  3.76226   4.8579   5.1776   4.3762
1.0183491025    -0.05278  3.76461   4.8060   5.1210   4.3293
1.0276761669    -0.03276  3.76693   4.7546   5.0650   4.2829
1.0370032312    -0.01288  3.76924   4.7035   5.0094   4.2369
1.0463302956     0.00687  3.77153   4.6527   4.9540   4.1912
1.0556573600     0.02648  3.77379   4.6022   4.8989   4.1457
1.0649844244     0.04596  3.77604   4.5521   4.8442   4.1005
1.0743114887     0.06531  3.77826   4.5026   4.7902   4.0559
1.0836385531     0.08454  3.78047   4.4537   4.7372   4.0119
1.0929656175     0.10365  3.78265   4.4054   4.6849   3.9684
1.1022926819     0.12270  3.78480   4.3573   4.6328   3.9251
1.1116197463     0.14183  3.78686   4.3090   4.5806   3.8814
1.1209468106     0.16081  3.78890   4.2609   4.5286   3.8379
1.1302738750     0.17965  3.79093   4.2132   4.4770   3.7948
1.1396009394     0.19835  3.79295   4.1659   4.4258   3.7520
1.1489280038     0.21692  3.79494   4.1191   4.3752   3.7097
1.1582550682     0.23536  3.79693   4.0727   4.3251   3.6678
1.1675821325     0.25367  3.79889   4.0267   4.2755   3.6262
1.1769091969     0.27184  3.80084   3.9811   4.2264   3.5851
1.1862362613     0.28989  3.80278   3.9359   4.1777   3.5443
1.1955633257     0.30782  3.80470   3.8911   4.1294   3.5039
1.2048903901     0.32552  3.80665   3.8467   4.0815   3.4640
1.2142174544     0.34303  3.80862   3.8029   4.0339   3.4246
1.2235445188     0.36042  3.81057   3.7592   3.9867   3.3855
1.2328715832     0.37772  3.81251   3.7160   3.9399   3.3467
1.2421986476     0.39491  3.81443   3.6731   3.8936   3.3083
1.2515257119     0.41201  3.81634   3.6306   3.8479   3.2702
1.2608527763     0.42913  3.81827   3.5881   3.8021   3.2322
1.2701798407     0.44617  3.82019   3.5458   3.7565   3.1944
1.2795069051     0.46299  3.82207   3.5040   3.7114   3.1570
1.2888339695     0.47987  3.82396   3.4621   3.6661   3.1194
1.2981610338     0.49657  3.82584   3.4205   3.6212   3.0823
1.3074880982     0.51222  3.82779   3.3817   3.5791   3.0481
1.3168151626     0.52763  3.82975   3.3436   3.5376   3.0146
1.3261422270     0.54298  3.83171   3.3056   3.4964   2.9813
1.3354692914     0.55828  3.83366   3.2678   3.4554   2.9481
1.3447963557     0.57350  3.83559   3.2302   3.4146   2.9151
1.3541234201     0.58867  3.83751   3.1928   3.3740   2.8823
1.3634504845     0.60373  3.83942   3.1557   3.3337   2.8497
1.3727775489     0.61868  3.84129   3.1187   3.2935   2.8172
1.3821046133     0.63354  3.84314   3.0820   3.2537   2.7850
1.3914316776     0.64829  3.84496   3.0456   3.2143   2.7530
1.4007587420     0.66289  3.84679   3.0098   3.1755   2.7215
1.4100858064     0.67669  3.84888   2.9761   3.1386   2.6929
1.4194128708     0.69040  3.85093   2.9427   3.1019   2.6644
1.4287399351     0.70399  3.85293   2.9095   3.0656   2.6360
1.4380669995     0.71748  3.85487   2.8765   3.0294   2.6078
1.4473940639     0.73088  3.85676   2.8436   2.9936   2.5797
1.4567211283     0.74421  3.85860   2.8111   2.9580   2.5517
1.4660481927     0.75745  3.86040   2.7787   2.9228   2.5238
1.4753752570     0.77059  3.86215   2.7466   2.8880   2.4960
1.4847023214     0.78368  3.86386   2.7147   2.8534   2.4684
1.4940293858     0.79667  3.86551   2.6831   2.8192   2.4408
1.5033564502     0.80947  3.86713   2.6518   2.7855   2.4137
1.5126835146     0.82204  3.86875   2.6212   2.7523   2.3871
1.5220105789     0.83451  3.87029   2.5907   2.7194   2.3605
1.5313376433     0.84691  3.87177   2.5603   2.6867   2.3340
1.5406647077     0.85928  3.87321   2.5300   2.6541   2.3074
1.5499917721     0.87163  3.87461   2.4998   2.6217   2.2808
1.5593188365     0.88392  3.87596   2.4698   2.5896   2.2543
